ResNet (SiLU/32) | L:0.2 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36154 (Epoch 1260)
ResNet (SiLU/32) | L:0.5 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36156 (Epoch 1210)
ResNet (SiLU/32) | L:2.0 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36157 (Epoch 1330)
ResNet (SiLU/128) | L:0.2 W:50 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.36161 (Epoch 840)
ResNet (SiLU/128) | L:0.5 W:50 R:600 LR:0.0005 WD:1e-05 --> Test Loss: 0.36163 (Epoch 820)
ResNet (SiLU/32) | L:2.0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36183 (Epoch 1310)
ResNet (SiLU/32) | L:0.5 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36188 (Epoch 1210)
ResNet (SiLU/32) | L:0.2 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36193 (Epoch 1300)
ResNet (SiLU/32) | L:2.0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36200 (Epoch 1330)
ResNet (SiLU/32) | L:2.0 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36221 (Epoch 1380)
ResNet (SiLU/32) | L:0.2 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36221 (Epoch 1270)
ResNet (SiLU/32) | L:2.0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36225 (Epoch 1320)
ResNet (SiLU/32) | L:2.0 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36238 (Epoch 1270)
ResNet (SiLU/32) | L:0.5 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.36246 (Epoch 1320)
ResNet (SiLU/128) | L:0.5 W:100 R:200 LR:0.0005 WD:1e-05 --> Test Loss: 0.36247 (Epoch 820)
ResNet (SiLU/32) | L:0.2 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.36249 (Epoch 1310)
ResNet (SiLU/32) | L:0.5 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.36257 (Epoch 1260)
