Lch,Wch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
12.34,75.64,0.21,1.28,2.23008379642015e-5,3.06395176585314e-10,0.2166678146437381,61.6283317573373,1.69130781322725e-5,2.73911978663255e-10,-0.2177129538831277,61.372386510795515
39.14,20.45,0.35,2.55,4.027173865689e-6,2.29410944185658e-11,0.2205232623889868,61.44761066055171,4.41649825109491e-6,2.84103140188879e-11,-0.2097450869708862,59.914454582162605
22.84,56.55,1.28,2.29,1.07419403449318e-5,1.50087053957643e-10,0.2185934864396995,61.559086979557975,1.26155353562077e-5,9.39691187073856e-10,-0.1619559472043434,61.64993454440435
27.26,77.64,0.61,2.48,1.59042560104964e-5,1.43678517220801e-10,0.2194722773203127,62.131935481148815,1.71295037778976e-5,2.94265453713924e-10,-0.1941217279823373,60.55420507951151
25.1,46.07,0.94,2.76,9.08601771861277e-6,1.08950735157485e-10,0.2171717037679239,61.349451082126556,1.0045286714572e-5,4.28096358119614e-10,-0.1744777338214563,59.94883382629054
25.64,61.93,1.39,2.83,1.06924671003446e-5,1.5122738058861e-10,0.2189549634105356,61.542323735212584,1.38590216101988e-5,1.39874066685668e-9,-0.1513987169740623,60.56552893062599
16.32,42.87,0.72,1.45,1.07008881909411e-5,1.43907847054464e-10,0.2171555598916987,61.512955293579985,9.47811275398633e-6,2.92712709312352e-10,-0.1942800744639455,60.44267963273325
7.95,44.78,1.01,2.4,1.17752269027119e-5,1.7041076588268e-9,0.1907636638831071,66.32273603116079,9.92973450958794e-6,6.94643470902776e-9,-0.1427191735404973,65.32667937118329
25.68,72.19,0.99,2.34,1.38283324012542e-5,1.49623679910925e-10,0.220170218598061,62.071485714445245,1.58691556048262e-5,6.02485949859647e-10,-0.1759002887000178,60.364840659205804
15.51,96.82,0.3,2.82,2.46863463856677e-5,4.60432888774427e-10,0.2115730769645132,60.958605274965564,2.1480353288686e-5,6.82451250310266e-10,-0.1973637776246667,61.82820600159017
32.25,65.27,0.4,2.91,1.30361280402189e-5,9.88126002246817e-11,0.2192506493472098,62.17942820692955,1.35780758064619e-5,1.57294463582161e-10,-0.2019402869074745,60.23869287515929
14.61,41.34,0.73,2.39,1.00439900304878e-5,2.09090812745683e-10,0.2132825358542249,61.19145221730224,8.50935511259463e-6,6.27748771246766e-10,-0.1799730319609262,61.847165450339766
7.74,54.81,0.32,1.85,1.6234696226471e-5,6.94580617690962e-10,0.2076980343345805,63.60432088851084,1.22723905958314e-5,7.16196671684639e-10,-0.2034153966981244,63.02810462662139
20.36,72.27,0.46,2.95,1.67324051809313e-5,2.30019491165519e-10,0.2140034446163143,60.774555213197075,1.63624938720212e-5,4.78452076982836e-10,-0.1903162130716763,59.45207335495087
22.86,12.71,0.53,1.75,3.0158540256167e-6,2.53096197545561e-11,0.2202868833326078,61.821997149861254,2.58580918765219e-6,3.53238835164185e-11,-0.207723831537729,59.14653724781435
15.84,19.36,1.24,2.47,4.30403014277249e-6,1.04007701316143e-10,0.2119315429212607,62.661352485378934,4.20936448494666e-6,7.21608894923577e-10,-0.1554738459993263,61.85027653492698
40.48,61.19,0.4,2.86,1.13389476136006e-5,6.99969022372208e-11,0.2199108999908884,61.945455469026165,1.3209075615863e-5,1.06411808321852e-10,-0.2033149420440161,59.04780327069211
42.66,24.33,0.45,1.26,4.92365628885524e-6,2.17641558222878e-11,0.2235650379543609,60.04515814739629,5.21372047456301e-6,2.3105946548955e-11,-0.216651700298075,60.23947821809279
