DeepMLP (SiLU/16) | L:0.2 W:100 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08453 (Epoch 1370)
DeepMLP (SiLU/16) | L:0.2 W:150 R:600 LR:0.001 WD:0.0001 --> Test Loss: 0.08454 (Epoch 1290)
DeepMLP (SiLU/16) | L:0.2 W:50 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08459 (Epoch 1310)
DeepMLP (SiLU/16) | L:0.2 W:100 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08459 (Epoch 1330)
DeepMLP (SiLU/16) | L:0.2 W:150 R:1000 LR:0.001 WD:0.0001 --> Test Loss: 0.08461 (Epoch 1320)
DeepMLP (SiLU/16) | L:0 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:50 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:100 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:150 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
DeepMLP (SiLU/16) | L:0 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08464 (Epoch 1100)
ResNet (ELU/16) | L:0.5 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08466 (Epoch 1820)
ResNet (ELU/16) | L:0.5 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08468 (Epoch 1820)
DeepMLP (SiLU/16) | L:0.2 W:100 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08471 (Epoch 1090)
DeepMLP (SiLU/16) | L:0.2 W:150 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08471 (Epoch 1100)
DeepMLP (SiLU/16) | L:0.2 W:50 R:200 LR:0.001 WD:1e-05 --> Test Loss: 0.08472 (Epoch 1100)
DeepMLP (SiLU/16) | L:0.2 W:150 R:1000 LR:0.001 WD:1e-05 --> Test Loss: 0.08473 (Epoch 1090)
DeepMLP (SiLU/16) | L:0.2 W:50 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08474 (Epoch 1100)
DeepMLP (SiLU/16) | L:0.2 W:100 R:600 LR:0.001 WD:1e-05 --> Test Loss: 0.08474 (Epoch 1090)
