size,test_mse,seeds50,0.17842181026935577,5043
50,0.13453693687915802,5042
50,0.16226844489574432,5044
50,0.4744325280189514,5045
50,0.2016502320766449,5046
51,0.15729589760303497,5142
51,0.1238485723733902,5143
51,0.15666800737380981,5144
51,0.13605836033821106,5145
51,0.2688090205192566,5146
53,0.11221856623888016,5342
53,0.5075247287750244,5343
53,0.26399773359298706,5344
53,0.38655608892440796,5346
55,0.26933565735816956,5542
53,0.20985153317451477,5345
55,0.14856494963169098,5544
55,0.1476273536682129,5543
55,0.3214517831802368,5545
55,0.1497560292482376,5546
57,0.1976684182882309,5743
57,0.12348926067352295,5742
57,0.15009179711341858,5746
57,0.10601343214511871,5744
57,0.2019832581281662,5745
59,0.1926955133676529,5944
59,0.1394890546798706,5942
59,0.27487555146217346,5943
59,0.17723412811756134,5945
61,0.17790675163269043,6142
59,0.16331399977207184,5946
61,0.13045334815979004,6143
61,0.22426632046699524,6144
61,0.3617216646671295,6145
61,0.2525597810745239,6146
63,0.092290498316288,6342
63,0.21234458684921265,6343
63,0.12846599519252777,6345
63,0.2327173948287964,6344
63,0.34505394101142883,6346
66,0.20696155726909637,6642
66,0.07625173032283783,6643
66,0.2283596694469452,6644
66,0.17935432493686676,6646
66,0.12618374824523926,6645
68,0.18350990116596222,6842
68,0.22341525554656982,6844
68,0.10056816786527634,6843
68,0.2084151804447174,6845
68,0.3406699299812317,6846
70,0.11511029303073883,7042
70,0.13150694966316223,7044
70,0.20476020872592926,7043
70,0.15902625024318695,7046
70,0.1752803772687912,7045
73,0.1425783932209015,7342
73,0.2529672384262085,7343
73,0.1872934252023697,7344
73,0.100211501121521,7345
76,0.23367497324943542,7642
76,0.09598565101623535,7643
73,0.13886134326457977,7346
76,0.20993737876415253,7645
76,0.13163402676582336,7644
76,0.09846414625644684,7646
78,0.12864504754543304,7842
78,0.1174854189157486,7843
78,0.13513754308223724,7844
78,0.16872242093086243,7846
81,0.15161241590976715,8142
78,0.1573934257030487,7845
81,0.19317206740379333,8143
81,0.16903619468212128,8144
81,0.14973537623882294,8145
81,0.11256296187639236,8146
84,0.17853131890296936,8442
84,0.1652093231678009,8444
84,0.0872766450047493,8443
84,0.1537066102027893,8446
84,0.14097146689891815,8445
87,0.16311529278755188,8742
87,0.13431984186172485,8743
87,0.10689926147460938,8744
90,0.24328769743442535,9042
87,0.11012448370456696,8746
87,0.06433276832103729,8745
90,0.21957270801067352,9044
90,0.08661779016256332,9043
90,0.11266080290079117,9045
90,0.19785979390144348,9046
93,0.21050237119197845,9342
93,0.12854193150997162,9343
93,0.1355130821466446,9344
93,0.10563240945339203,9345
93,0.1517704576253891,9346
97,0.14485780894756317,9742
97,0.1453193724155426,9743
97,0.2244359701871872,9744
97,0.10082126408815384,9745
100,0.12385912984609604,10042
97,0.12945151329040527,9746
100,0.1394558995962143,10043
100,0.129392609000206,10044
100,0.14176544547080994,10046
100,0.12874735891819,10045
104,0.13850021362304688,10442
104,0.14680087566375732,10444
104,0.11687998473644257,10443
104,0.10210172086954117,10445
107,0.18248870968818665,10742
104,0.08030536770820618,10446
107,0.2860660254955292,10744
107,0.1295519769191742,10743
107,0.14962060749530792,10745
107,0.1330118477344513,10746
111,0.13808362185955048,11142
111,0.14164693653583527,11143
111,0.1128733828663826,11144
111,0.14377310872077942,11145
111,0.15603742003440857,11146
