Lch,Wch,Tch,Tox1,Tox2,Ion_N,Ioff_N,Vth_N,SS_N,Ion_P,Ioff_P,Vth_P,SS_P
22.208930236055267,68.0103060993356,5.601310116891369,0.26348398317071764,1.7723691673380009,8.676508878124878e-05,9.110781573617999e-11,0.20428547263145447,58.403587341308594,5.248400702839717e-05,4.399932154730557e-11,-0.23396316170692444,59.48341751098633
33.19377327469587,45.03947444131876,5.590300323874346,0.20868910043452743,1.5950111136842442,6.290576857281849e-05,3.0454680444158555e-11,0.24197840690612793,68.02519226074219,3.704359914991073e-05,1.330532038712473e-11,-0.25346097350120544,66.8619613647461
31.726025973299844,66.87207353004702,7.083676618888564,0.3220027767851772,1.9233477372455259,8.720988989807665e-05,7.438946680871084e-11,0.2101162075996399,54.72539520263672,5.301514465827495e-05,3.594269673556916e-11,-0.24029459059238434,67.70321655273438
18.839693592334292,26.508302164387583,4.4731714355475525,0.3684313495320639,1.7100371804054968,3.1988241971703246e-05,3.229301201446155e-11,0.24365964531898499,67.46530151367188,1.832509587984532e-05,1.5815062801016744e-11,-0.25349608063697815,67.89215087890625
29.991989978164817,73.77942120790081,5.625109966553523,0.3985397888825533,1.818619456659204,8.361709478776902e-05,6.42819825147356e-11,0.21621856093406677,51.58173370361328,5.068424070486799e-05,3.0682300450335376e-11,-0.24269211292266846,67.30949401855469
32.6063788479075,52.28598367994246,5.3110152697963935,0.2506562105617006,1.7182107045420025,6.780545663787052e-05,3.544195145699369e-11,0.24009636044502258,67.44435119628906,4.0004677430260926e-05,1.617410892718052e-11,-0.2508188486099243,66.95809173583984
30.80901521460793,59.23352594996025,6.979228965681834,0.20616196937208467,1.736093378940495,8.286302909255028e-05,6.017011194847655e-11,0.21809141337871552,51.758827209472656,5.015537317376584e-05,2.8214592120989757e-11,-0.24276910722255707,67.75822448730469
28.284905142194827,34.12938715902348,5.747815549510647,0.28353257603317694,1.7843506633848727,4.333738252171315e-05,2.9377555943455036e-11,0.24308380484580994,67.6806640625,2.607422720757313e-05,1.3977963751743427e-11,-0.2538323998451233,66.95421600341797
18.168705761659023,35.04702416956058,4.885305630485038,0.2688259888080133,1.7573952273414175,4.4528700527735054e-05,5.0733587469986574e-11,0.2360731065273285,64.67896270751953,2.589471114333719e-05,2.4739214149471778e-11,-0.24655921757221222,68.05120086669922
27.35024808153215,60.26553505125382,7.82641908592271,0.3126923343236926,1.9862313244205858,8.266944496426731e-05,1.0218340062984055e-10,0.20038142800331116,60.618927001953125,5.108237382955849e-05,5.081129614281643e-11,-0.22768335044384003,57.35246276855469
19.860025917473237,24.181191477034048,7.488920024260075,0.37586929920127676,1.9173113257924124,3.624079909059219e-05,7.68788782634644e-11,0.2219679206609726,59.430992126464844,2.2630614694207907e-05,4.073092904621767e-11,-0.24665817618370056,69.34503936767578
23.21031058263894,43.964409017801344,4.4533896554676025,0.283355475897416,1.733057126335795,5.055353176430799e-05,3.6224460930878166e-11,0.2403871715068817,67.13224792480469,2.9673747121705674e-05,1.7166776680732632e-11,-0.2501943111419678,67.02117919921875
33.91868079674105,33.15687762928754,5.381809002890897,0.35647632329509654,1.5255537416106089,4.4725966290570796e-05,2.191888164027045e-11,0.24608607590198517,67.35231018066406,2.5921835913322866e-05,9.207381385101243e-12,-0.26021596789360046,65.77023315429688
23.00819974500443,76.77299318086469,4.2063637367378215,0.2727117167131432,1.7210386605458552,8.281937334686518e-05,6.707062683020126e-11,0.2169514298439026,51.276161193847656,4.877919127466157e-05,3.036486340146638e-11,-0.2440975308418274,67.03325653076172
18.29985691756515,44.5691226633284,7.129462125274323,0.390573513262917,1.5014710168279097,6.159135955385864e-05,1.813255934290936e-10,0.19400767982006073,66.78779602050781,4.007984898635186e-05,1.0127844396468078e-10,-0.21204864978790283,64.88667297363281
17.338012379640105,34.958872976843,7.769384759236119,0.37558597346095035,1.6552282213120668,5.3610554459737614e-05,2.3145201033525353e-10,0.19265268743038177,68.42377471923828,3.443528839852661e-05,1.2692748241338592e-10,-0.2096298485994339,69.06201934814453
19.487274462188953,25.58653249763808,7.961610563801129,0.3104809242521282,1.8330782733822377,4.3636267946567386e-05,1.002061905674978e-10,0.21345587074756622,62.2404670715332,2.619474798848387e-05,5.486266302368037e-11,-0.2435864806175232,67.90328979492188
23.715408767255393,54.183791833688005,4.540744794740941,0.35932788584318487,1.9972601247874602,5.922028503846377e-05,5.0607962265303286e-11,0.23345260322093964,62.987220764160156,3.528036904754117e-05,2.476378130333856e-11,-0.24662594497203827,67.54923248291016
29.778631962203537,79.74570950215033,7.759646358794978,0.3594125308139569,1.5761802145001031,0.00010549405124038458,9.140077583680295e-11,0.19694821536540985,59.11186599731445,6.561686313943937e-05,4.76762206103043e-11,-0.22205683588981628,55.31698226928711
16.016933468945467,57.66013468944077,4.011753846282167,0.2133666760714927,1.5418955006682067,6.710844172630459e-05,7.8179199225481e-11,0.21360458433628082,53.61196517944336,3.888451465172693e-05,3.731276745910783e-11,-0.24219971895217896,67.06787872314453
20.029229629055223,71.01808021715199,5.784622657194777,0.250472754191597,1.5796307315227265,9.284164116252214e-05,1.1893346030245056e-10,0.1950974464416504,60.389225006103516,5.767365655628964e-05,6.511251260388207e-11,-0.21793843805789948,55.85326385498047
19.441837910072184,31.589055379343744,5.518050183267228,0.2520425824137771,1.666387319318321,4.29784668085631e-05,4.771581046947304e-11,0.23843452334403992,66.01768493652344,2.524322917452082e-05,2.3391066861222498e-11,-0.24715988337993622,67.90444946289062
17.386230974792877,67.03069143945892,4.980611473281766,0.3949932055112053,1.7823170888280118,7.765620102873072e-05,1.4778099577394954e-10,0.19445829093456268,62.725032806396484,4.818232264369726e-05,7.444862781813555e-11,-0.21578006446361542,58.82838821411133
15.03503306041429,26.37735857621948,4.737916631614689,0.3911005830387493,1.9226746528599923,3.244597974116914e-05,6.091780552219817e-11,0.23088903725147247,62.404869079589844,1.8885697500081733e-05,3.229464265452897e-11,-0.24725082516670227,69.71577453613281
32.750384984152795,42.15127895809832,6.661319331293872,0.2659236857189639,1.6946359169098373,5.959419286227785e-05,3.5448723817443906e-11,0.2406374216079712,68.06258392333984,3.590899723349139e-05,1.626660958709003e-11,-0.25104787945747375,67.47613525390625
16.509554556540806,64.9756491104499,4.273297414682315,0.2746193701647897,1.6463205845179716,7.525728142354637e-05,9.320895444364652e-11,0.20571136474609375,57.74669647216797,4.431486740941182e-05,4.6410521259421245e-11,-0.23429536819458008,60.2130126953125
32.15010886756128,77.64739197218873,7.472310982422914,0.26118137990291035,1.612059207910709,0.00010833100532181561,7.471886304122322e-11,0.2060406506061554,57.069705963134766,6.471949745900929e-05,3.125955050364837e-11,-0.23710684478282928,62.939022064208984
33.050204967696686,70.43076768052566,4.680861850055134,0.2438533426861584,1.7395761158707317,8.307633106596768e-05,4.390020638678216e-11,0.23555344343185425,64.17823028564453,4.783432450494729e-05,1.9469221373968892e-11,-0.24794913828372955,66.52890014648438
